Column1,Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Neighborhood
4794,Brand New 5 Bedroom Semi Detached Duplex On 350m2 Land With A Room Bq,Adeyemo Alakija St. Ikeja Gra Ikeja Lagos,₦,"150,000,000",0,0,0,5 beds,5 baths,6 Toilets,GRA
4795,"2,000m2 Mixed Dev Land",Sobo Arobiodu St. Ikeja Gra Ikeja Lagos,₦,"650,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4796,580m2 Prime Residential Land,Abimbola Close Ikeja Gra Ikeja Lagos,₦,"125,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4797,500m2 Residential Land,"Oba Dosumu St, Ikeja Gra Ikeja Lagos",₦,"95,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4798,"1,989m2 Commercial Land",Isaac John St. Ikeja Gra Ikeja Lagos,₦,"550,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4799,609m2 Residential Land,Oduduwa Crescent Ikeja Gra Ikeja Lagos,₦,"122,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4800,500m2 Residential Land,Remi Fani Kayode St. Ikeja Gra Ikeja Lagos,₦,"100,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4801,"3,800m2 Prime Residential Land",Oduduwa Gated St. Ikeja Gra Ikeja Lagos,₦,"850,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4802,"3,482m2 Mix Dev Land",Adekunle Fajuyi Way. Ikeja Gra Ikeja Lagos,₦,"500,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4803,3620m2 Residential Land,Oba Dosumu St Ikeja Gra Ikeja Lagos,₦,"650,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4804,1500m2 Mixed Used Land,Adekunle Fajuyi Way Ikeja Gra Ikeja Lagos,₦,"350,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4805,"5,000m2 Commercial Land",Joel Ogunnaike St. Ikeja Gra Ikeja Lagos,₦,"1,400,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4806,Decently Used 3 Bedroom Detached Duplex,Adekunle Fajuyi Way Ikeja Gra Ikeja Lagos,₦,"220,000,000",0,0,0,3 beds,3 baths,4 Toilets,GRA
4807,5 Bedroom Terrace Duplex With A Room Bq,Adeyemo Alakija St Ikeja Gra Ikeja Lagos,₦,"130,000,000",0,0,0,5 beds,5 baths,6 Toilets,GRA
4808,"2 Nos Of 5 Bedroom Duplexes, Each On 500m2 Land And With A Room Bq Each",Ladoke Akintola St. Ikeja Gra Ikeja Lagos,₦,"180,000,000",0,0,0,5 beds,5 baths,6 Toilets,GRA
4809,800m2 Residential Land,Oduduwa Crescent Ikeja Gra Ikeja Lagos,₦,"160,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4810,500m2 Residential Land,Oduduwa Crescent Ikeja Gra Ikeja Lagos,₦,"100,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4811,"1,200m2 Commercial Land",Joel Ogunnaike St. Ikeja Gra Ikeja Lagos,₦,"550,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4812,1835.179m2 Residential Land,"Ladoke Akintola St, Ikeja Gra Ikeja Lagos",₦,"380,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
4813,"8,400m2 Residential Land",Adeyemo Alakija St. Ikeja Gra Ikeja Lagos,₦,"1,700,000,000",0,0,0,0 beds,0 baths,0 Toilets,GRA
