Column1,Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Neighborhood
144,Luxury 4 Numbers Of 3 Bedroom Terrace Houses,Banana Island Ikoyi Lagos,₦,"2,400,000,000",0,0,0,0 beds,0 baths,0 Toilets,Banana Island
145,3bedrooms Apartment + Bq,Banana Island Ikoyi Lagos,₦,"170,000,000",1,1,0,3 beds,3 baths,4 Toilets,Banana Island
146,Smart Luxury 3 Bedroom Blocks Of Flat And Bq,Banana Island Ikoyi Lagos,₦,"180,000,000",0,1,0,3 beds,3 baths,4 Toilets,Banana Island
147,Luxury 5 Bedroom Detached Duplex,Old Ikoyi Ikoyi Lagos,₦,"900,000,000",0,1,0,5 beds,5 baths,6 Toilets,Old Ikoyi
148,4 Bedroom Terrace House,Banana Island Estate Banana Island Ikoyi Lagos,₦,"420,000,000",1,0,0,4 beds,4 baths,5 Toilets,Banana Island
149,3bedrooms Condo Apartment + Bq,Bourdillon Ikoyi Lagos,₦,"300,000,000",1,0,0,3 beds,3 baths,4 Toilets,Other Ikoyi
150,Newly Built 5 Bedroom Detached Duplex,"Ikoyi, Lagos, Nigeria Ikoyi Lagos",₦,"650,000,000",0,1,0,5 beds,5 baths,6 Toilets,Other Ikoyi
151,Brand New 4 Bedroom Terrace Duplex With A Bq;,Old Ikoyi Ikoyi Lagos,₦,"300,000,000",0,1,0,4 beds,4 baths,5 Toilets,Old Ikoyi
152,Fully Serviced 3 Bedroom Apartments,Banana Island Road Banana Island Ikoyi Lagos,₦,"200,000,000",1,0,0,3 beds,3 baths,4 Toilets,Banana Island
153,Brand New 5 Bedroom Detached Duplex With 2 Rooms Bq;,Shoreline Estate Ikoyi Lagos,₦,"450,000,000",0,1,0,5 beds,5 baths,6 Toilets,Other Ikoyi
154,Brand New 5 Bedroom Detached Duplex With 2 Rooms Bq;,Banana Island Ikoyi Lagos,₦,"950,000,000",0,1,0,5 beds,5 baths,6 Toilets,Banana Island
155,Land For Jv,Off Gerald Road Old Ikoyi Ikoyi Lagos,₦,"1,200,000,000",0,0,0, beds, baths, Toilets,Old Ikoyi
156,900sqm Land In A Gated Estate,Osborne Foreshore Estate Ikoyi Lagos,₦,"400,000,000",0,0,0, beds, baths, Toilets,Foreshore
157,Brand New 5 Bedroom Semi Detached Duplex + Bq,Ikoyi S.w Ikoyi Lagos,₦,"450,000,000",0,1,0,5 beds,6 baths,6 Toilets,Other Ikoyi
158,4 Bedroom Fully Detached Duplex,Off Bourdillion Road Old Ikoyi Ikoyi Lagos,$,"1,500,000",0,0,0,4 beds,5 baths,5 Toilets,Old Ikoyi
