Column1,Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,Neighborhood
63,Newly Built 3 Bedroom Apartment,Adeola Odeku Victoria Island Lagos,₦,"150,000,000",1,1,0,3 beds,3 baths,4 Toilets,Waziri Adeola Odeku
64,Spacious Luxury 3 Bedroom Apartment With Service Quarter,Adjoining Eko Atlantic City On Water Corporation Drive Off Ligali Ayorinde Victoria Island Lagos,₦,"95,000,000",1,0,0,3 beds,3 baths,4 Toilets,Other Victoria Island
65,4 Bedroom Fully Detached,Oniru Victoria Island Lagos,₦,"370,000,000",0,0,0,4 beds,4 baths,5 Toilets,Oniru
66,Luxury 5 Bedroom Masonite Penthouse,Victoria Island Oniru Victoria Island Lagos,₦,"265,000,000",1,1,0,5 beds,5 baths,6 Toilets,Oniru
67,Functional 27 Rooms Hotel With Swimming Pool,Ligali Ayorinde Victoria Island Lagos,₦,"1,400,000,000",1,0,0,10 beds,10 baths,10 Toilets,Other Victoria Island
68,Luxury Waterview Fully Furnished 2 Bedroom Apartment In Blue Water Apartments Lagos,Blue Water Apartments Oniru Victoria Island Lagos,₦,"140,000,000",0,1,0,2 beds,2 baths,3 Toilets,Oniru
69,Water Front Land With C Of O,Experience Pure Tranquility And Absolute Peace Of Mind With True Nature Oniru Victoria Island Lagos,₦,"3,000,000,000",1,0,0, beds, baths, Toilets,Oniru
70,"Serviced 3 Bedroom Apartment With Swimming Pool, Gym",Victoria Island Lagos,₦,"180,000,000",1,1,0,3 beds,3 baths,4 Toilets,Other Victoria Island
71,Beautiful 5 Bedroom Detached Duplex With Swimming Pool And Bq,Oniru Victoria Island Lagos,₦,"270,000,000",1,1,0,5 beds,5 baths,6 Toilets,Oniru
72,"Luxury Serviced 5 Bedroom Semi Detached Duplex With Swimming Pool, Cinema, Gym And Bq",Oniru Victoria Island Lagos,₦,"300,000,000",1,1,0,5 beds,5 baths,6 Toilets,Oniru
73,Serviced 4 Bedroom Terrace Duplex With Swimming Pool And Bq,Victoria Island Lagos,₦,"150,000,000",1,1,0,4 beds,4 baths,5 Toilets,Other Victoria Island
74,Hotel Space,Victoria Island Lagos,₦,"1,300,000,000",1,0,1,10 beds,10 baths,10 Toilets,Other Victoria Island
